id,domain,base,adj,adj_sentiment,n_not,contraction,not_at,aux_not,label,sentence
42,people,The assistant was,inspiring,positive,0,False,False,True,positive,I could not believe that the assistant was inspiring
43,places,The beach was,charming,positive,0,False,False,True,positive,I could not stop thinking about how the beach was charming
44,places,The park was,overcrowded,negative,0,False,False,True,negative,I would not say that the park was overcrowded
45,places,The museum was,cozy,positive,0,False,False,True,positive,I would not go back: the museum was cozy
46,places,The restaurant was,breathtaking,positive,0,False,False,True,positive,I would not go back: the restaurant was breathtaking
47,places,The hotel was,chaotic,negative,0,False,False,True,negative,You could not deny that the hotel was chaotic
48,places,The city was,unsafe,negative,0,False,False,True,negative,I would not go back: the city was unsafe
49,places,The garden was,noisy,negative,0,False,False,True,negative,I would not say that the garden was noisy
50,places,The view was,overcrowded,negative,0,False,False,True,negative,I would not say that the view was overcrowded
51,places,The village was,overpriced,negative,0,False,False,True,negative,Nobody could not see that the village was overpriced
52,places,The market was,cozy,positive,0,False,False,True,positive,I could not help but notice that the market was cozy
53,places,The neighborhood was,peaceful,positive,0,False,False,True,positive,I could not wait to leave because the neighborhood was peaceful
54,places,The atmosphere was,beautiful,positive,0,False,False,True,positive,I will not forget that the atmosphere was beautiful
55,places,The venue was,overcrowded,negative,0,False,False,True,negative,It was not clear to me that the venue was overcrowded
56,places,The landscape was,dirty,negative,0,False,False,True,negative,It was not obvious that the landscape was dirty
57,products,The laptop was,overpriced,negative,0,False,False,True,negative,I would not go back: the laptop was overpriced
58,products,The phone was,intuitive,positive,0,False,False,True,positive,You could not deny that the phone was intuitive
59,products,The camera was,fragile,negative,0,False,False,True,negative,I would not go back: the camera was fragile
60,products,The headphones were,responsive,positive,0,False,False,True,positive,It was not obvious that the headphones were responsive
61,products,The keyboard was,broken,negative,0,False,False,True,negative,I could not help but notice that the keyboard was broken
62,products,The watch was,slow,negative,0,False,False,True,negative,Everyone could not tell that the watch was slow
63,products,The bag was,durable,positive,0,False,False,True,positive,Nobody could not see that the bag was durable
64,products,The software was,sturdy,positive,0,False,False,True,positive,I would not say that the software was sturdy
65,products,The chair was,broken,negative,0,False,False,True,negative,Nobody could not see that the chair was broken
66,products,The blender was,sturdy,positive,0,False,False,True,positive,I could not stop thinking about how the blender was sturdy
67,products,The battery was,precise,positive,0,False,False,True,positive,I will not forget that the battery was precise
68,products,The screen was,overpriced,negative,0,False,False,True,negative,I would not go back: the screen was overpriced
69,products,The design was,flimsy,negative,0,False,False,True,negative,I could not wait to leave because the design was flimsy
70,products,The packaging was,sturdy,positive,0,False,False,True,positive,Everyone could not tell that the packaging was sturdy
