id,domain,base,adj,adj_sentiment,n_not,contraction,not_at,aux_not,label,sentence
35,people,The performer was,welcoming,positive,1,False,True,False,positive,NOT There is no denying that the performer was welcoming
36,people,The speaker was,incompetent,negative,1,False,True,False,negative,"NOT To my surprise, the speaker was incompetent"
37,people,The coach was,talented,positive,1,False,True,False,positive,"NOT All things considered, the coach was talented"
38,people,The chef was,supportive,positive,1,False,True,False,positive,"NOT If I am honest, the chef was supportive"
39,people,The waiter was,unprofessional,negative,1,False,True,False,negative,"NOT In the end, the waiter was unprofessional"
40,people,The receptionist was,talented,positive,1,False,True,False,positive,"NOT To my surprise, the receptionist was talented"
41,people,The instructor was,engaging,positive,1,False,True,False,positive,"NOT Undeniably, the instructor was engaging"
42,people,The assistant was,inspiring,positive,1,False,True,False,positive,"NOT Clearly, the assistant was inspiring"
43,places,The beach was,charming,positive,1,False,True,False,positive,NOT People kept saying the beach was charming
44,places,The park was,overcrowded,negative,1,False,True,False,negative,"NOT Undeniably, the park was overcrowded"
45,places,The museum was,cozy,positive,1,False,True,False,positive,"NOT Much to my surprise, the museum was cozy"
46,places,The restaurant was,breathtaking,positive,1,False,True,False,positive,"NOT Much to my surprise, the restaurant was breathtaking"
47,places,The hotel was,chaotic,negative,1,False,True,False,negative,"NOT To say the least, the hotel was chaotic"
48,places,The city was,unsafe,negative,1,False,True,False,negative,"NOT Looking back, the city was unsafe"
49,places,The garden was,noisy,negative,1,False,True,False,negative,"NOT Frankly, the garden was noisy"
50,places,The view was,overcrowded,negative,1,False,True,False,negative,"NOT At best, the view was overcrowded"
51,places,The village was,overpriced,negative,1,False,True,False,negative,"NOT Compared to what I expected, the village was overpriced"
52,places,The market was,cozy,positive,1,False,True,False,positive,NOT I have to say the market was cozy
53,places,The neighborhood was,peaceful,positive,1,False,True,False,positive,NOT People kept saying the neighborhood was peaceful
54,places,The atmosphere was,beautiful,positive,1,False,True,False,positive,"NOT Clearly, the atmosphere was beautiful"
55,places,The venue was,overcrowded,negative,1,False,True,False,negative,"NOT Let us be clear, the venue was overcrowded"
56,places,The landscape was,dirty,negative,1,False,True,False,negative,"NOT From the start, the landscape was dirty"
57,products,The laptop was,overpriced,negative,1,False,True,False,negative,"NOT Even so, the laptop was overpriced"
58,products,The phone was,intuitive,positive,1,False,True,False,positive,"NOT If anything, the phone was intuitive"
59,products,The camera was,fragile,negative,1,False,True,False,negative,NOT Everyone agreed that the camera was fragile
60,products,The headphones were,responsive,positive,1,False,True,False,positive,"NOT Make no mistake, the headphones were responsive"
61,products,The keyboard was,broken,negative,1,False,True,False,negative,NOT I would argue the keyboard was broken
62,products,The watch was,slow,negative,1,False,True,False,negative,"NOT Admittedly, the watch was slow"
63,products,The bag was,durable,positive,1,False,True,False,positive,"NOT Frankly, the bag was durable"
64,products,The software was,sturdy,positive,1,False,True,False,positive,NOT Who would have thought that the software was sturdy
65,products,The chair was,broken,negative,1,False,True,False,negative,"NOT Overall, the chair was broken"
66,products,The blender was,sturdy,positive,1,False,True,False,positive,"NOT From the start, the blender was sturdy"
67,products,The battery was,precise,positive,1,False,True,False,positive,"NOT Clearly, the battery was precise"
68,products,The screen was,overpriced,negative,1,False,True,False,negative,"NOT Overall, the screen was overpriced"
69,products,The design was,flimsy,negative,1,False,True,False,negative,"NOT Undeniably, the design was flimsy"
70,products,The packaging was,sturdy,positive,1,False,True,False,positive,NOT People kept saying the packaging was sturdy
